,file type,hash(SHA256),Vt_link,File_Exten
57,"HTML document, ASCII text, with CRLF, CR line terminators",71c61629d663059ac6cc15fc016562f023b284870a1047ca2468703b371ada76,https://www.virustotal.com/gui/file/71c61629d663059ac6cc15fc016562f023b284870a1047ca2468703b371ada76,Text
58,"big endian ispell hash file (?),",b55fcafb4b6506c90a4e1384379df423e563b4692fbd8b631c22ae8b5c4c1314,https://www.virustotal.com/gui/file/b55fcafb4b6506c90a4e1384379df423e563b4692fbd8b631c22ae8b5c4c1314,unknown
59,"DOS executable (fast standard input/output character device driver GOATXXXX,IOCTL-,close media-,control strings-support)",7589eab6e3aa6e8c10b96336d3262da8fc35aba44af6781b37fff7072da4b74c,https://www.virustotal.com/gui/file/7589eab6e3aa6e8c10b96336d3262da8fc35aba44af6781b37fff7072da4b74c,DOS EXE
60,"DOS/MBR boot sector MS-MBR, disk signature 0x70a570a5; partition 1 : ID=0x7, active, start-CHS (0x0,1,1), end-CHS (0x3ff,254,63), startsector 63, 32772537 sectors; partition 2 : ID=0xf, start-CHS (0x3ff,0,1), end-CHS (0x3ff,254,63), startsector 32772600, 127299060 sectors",880c008ea7e997c683e8cbe1dffc4be52d4a44910b130a3c3eb5ab34e6f73364,https://www.virustotal.com/gui/file/880c008ea7e997c683e8cbe1dffc4be52d4a44910b130a3c3eb5ab34e6f73364,unknown
61,"assembler source, ASCII text, with CRLF line terminators",7d12a1c1f8bb1aebf7756a2d535316abf44883e3f15bb61c9e877ff707f4c447,https://www.virustotal.com/gui/file/7d12a1c1f8bb1aebf7756a2d535316abf44883e3f15bb61c9e877ff707f4c447,Text
62,"DOS/MBR boot sector; partition 1 : ID=0x1b, start-CHS (0x0,1,1), end-CHS (0x3f,254,63), startsector 63, 12594897 sectors; partition 2 : ID=0x7, active, start-CHS (0x310,0,1), end-CHS (0x3ff,254,63), startsector 12594960, 143749620 sectors",df6f32f54bb0e15b36230e5a9206f5600857675d375dfdbbd6aa940915fcfe7d,https://www.virustotal.com/gui/file/df6f32f54bb0e15b36230e5a9206f5600857675d375dfdbbd6aa940915fcfe7d,unknown
63,Symbian installation file (EPOC release 6),02001bfa07cf10b7cd30753ae937eb23aa986db4cc37b18821d413d2c8cc0fea,https://www.virustotal.com/gui/file/02001bfa07cf10b7cd30753ae937eb23aa986db4cc37b18821d413d2c8cc0fea,Symbian
64,"DOS/MBR boot sector; partition 1 : ID=0x7, active, start-CHS (0x0,1,1), end-CHS (0x3ff,254,63), startsector 63, 156280257 sectors",e83a3edb3de8c51d80484c58cebbb0c7e4289f381a3df44ea1115880ae21fc09,https://www.virustotal.com/gui/file/e83a3edb3de8c51d80484c58cebbb0c7e4289f381a3df44ea1115880ae21fc09,unknown
65,"HTML document, ASCII text",d0bbb3b665df239ec770b0bcd9a50fea6b7ba903fc1aff9b6226b5eb103ed232,https://www.virustotal.com/gui/file/d0bbb3b665df239ec770b0bcd9a50fea6b7ba903fc1aff9b6226b5eb103ed232,HTML
66,"HTML document, ISO-8859 text",e69d72ea3734b26c767edf9c2426fa3fae7165d0a73c930ef0b17b0a8164df2a,https://www.virustotal.com/gui/file/e69d72ea3734b26c767edf9c2426fa3fae7165d0a73c930ef0b17b0a8164df2a,Email
67,"C source, ASCII text, with CR line terminators",230b092f10c87187ed6d63600a11dd36f947a9814a595c112d3f91f453eb4bbd,https://www.virustotal.com/gui/file/230b092f10c87187ed6d63600a11dd36f947a9814a595c112d3f91f453eb4bbd,PHP
