,file type,hash(SHA256),Vt_link,File_Exten
0,txt,5a4c68fec59d388a0840769af7ce211bcf6ddff95e40749ed35013a126b137b4,https://www.virustotal.com/gui/file/5a4c68fec59d388a0840769af7ce211bcf6ddff95e40749ed35013a126b137b4,Text
1,data,26c89233b4f22f5b20bad12246c419fb402f591af4096b2c776dce7f323dc875,https://www.virustotal.com/gui/file/26c89233b4f22f5b20bad12246c419fb402f591af4096b2c776dce7f323dc875,unknown
2,COM executable for DOS,f5c2d69ce72f7e579076555b0fd14dd7c47f93bf8d55c14c854746366633c962,https://www.virustotal.com/gui/file/f5c2d69ce72f7e579076555b0fd14dd7c47f93bf8d55c14c854746366633c962,DOS COM
3,"MS-DOS executable, MZ for MS-DOS",d6b5405d6822c79a3abccfe0d34f058dca0ebc5973ed40c3e4a48f8862361cae,https://www.virustotal.com/gui/file/d6b5405d6822c79a3abccfe0d34f058dca0ebc5973ed40c3e4a48f8862361cae,Win32 DLL
4,"DOS floppy 1440k, DOS/MBR hard disk boot sector",4b55f967af9355a38056bb08be4ccbd9735b06f9d2a6af56f4b7bda106773c7a,https://www.virustotal.com/gui/file/4b55f967af9355a38056bb08be4ccbd9735b06f9d2a6af56f4b7bda106773c7a,unknown
5,GIF image data 3425 x 15370,cde3470de344c74d1d50b4f1dfa41c01207303253215ffeff04730c28b781cd2,https://www.virustotal.com/gui/file/cde3470de344c74d1d50b4f1dfa41c01207303253215ffeff04730c28b781cd2,GIF
6,MS-DOS executable,410ffb0abc7b94b640aa3718ae4b9d225c1de6a8b6b9fefd64d7a79ed7734f6f,https://www.virustotal.com/gui/file/410ffb0abc7b94b640aa3718ae4b9d225c1de6a8b6b9fefd64d7a79ed7734f6f,Win32 EXE
7,"DOS/MBR boot sector, code offset 0x49+2, OEM-ID ""MSWIN4.0"", sectors/cluster 16, root entries 512, Media descriptor 0xf8, sectors/FAT 255, sectors/track 63, heads 32, hidden sectors 63, sectors 1042209 (volumes > 32 MB) , serial number 0x305c1b06, label: ""           "", FAT (16 bit)",2041d42cdc44b45574408a5991f2b6bdc14eed3769f0d502c1ab926d9d2d00c8,https://www.virustotal.com/gui/file/2041d42cdc44b45574408a5991f2b6bdc14eed3769f0d502c1ab926d9d2d00c8,unknown
8,DOS executable (COM),4cd57f6d7ba0559a8fe1307f4f0eb74121d8ae55dfda621b0f35ee8bfd7c8bd9,https://www.virustotal.com/gui/file/4cd57f6d7ba0559a8fe1307f4f0eb74121d8ae55dfda621b0f35ee8bfd7c8bd9,DOS EXE
9,"news, ASCII text, with CRLF line terminators",14270d9e4f1d8ce8df36a6c00d646822dcc16385837d5fe4cd36a29c203136f8,https://www.virustotal.com/gui/file/14270d9e4f1d8ce8df36a6c00d646822dcc16385837d5fe4cd36a29c203136f8,unknown
10,"HTML document, UTF-8 Unicode text, with very long lines, with CRLF, LF line terminators",112e0d4c2193f44aeb8b14c0a20a2982b0656b517a333f33fe79a02aa5d5a25d,https://www.virustotal.com/gui/file/112e0d4c2193f44aeb8b14c0a20a2982b0656b517a333f33fe79a02aa5d5a25d,HTML
11,ASCII text,3ec5de4c2554cc5e71b76d70117f4959d99058f6711fc766ef40d283b95d4c93,https://www.virustotal.com/gui/file/3ec5de4c2554cc5e71b76d70117f4959d99058f6711fc766ef40d283b95d4c93,Text
12,"HTML document, ASCII text, with very long lines, with CRLF, LF line terminators",44475aaf4cc21908b201aaec0a2686ce8f2798bf532daab73aa455153ca2b4e0,https://www.virustotal.com/gui/file/44475aaf4cc21908b201aaec0a2686ce8f2798bf532daab73aa455153ca2b4e0,HTML
13,"ASCII text, with CRLF line terminators",6554e93fd3dee6854088ae4655fce6b42146a421115ca03182d31bd1da54d9b2,https://www.virustotal.com/gui/file/6554e93fd3dee6854088ae4655fce6b42146a421115ca03182d31bd1da54d9b2,Text
14,"HTML document, Little-endian UTF-16 Unicode text, with very long lines, with CRLF, CR line terminators",76ac308c1cacc8859338101fa5c78f49a7fa8c75971c00019e95478b34352d8d,https://www.virustotal.com/gui/file/76ac308c1cacc8859338101fa5c78f49a7fa8c75971c00019e95478b34352d8d,unknown
15,"HTML document, ASCII text, with very long lines, with CRLF line terminators",ff6c9a58c2d4072cae583590c38018a0d24fdb9652ca6ddbf42f9f7cec02b895,https://www.virustotal.com/gui/file/ff6c9a58c2d4072cae583590c38018a0d24fdb9652ca6ddbf42f9f7cec02b895,HTML
16,"RFC 822 mail, Non-ISO extended-ASCII text, with CRLF line terminators",2a29669e773c922f5667576aebb6ebe56ddcb6df696afe85d1ee6e407a4cdf74,https://www.virustotal.com/gui/file/2a29669e773c922f5667576aebb6ebe56ddcb6df696afe85d1ee6e407a4cdf74,Email
17,"ISO-8859 text, with CRLF line terminators",003d1c82f652ca626baf7f2eff65460a781d0d28f807ef75c24963294220a94f,https://www.virustotal.com/gui/file/003d1c82f652ca626baf7f2eff65460a781d0d28f807ef75c24963294220a94f,Text
18,"HTML document, ASCII text, with very long lines",5c010f84a3ef930b99c378942c572848acc336a672678faa82a89fc90b69e7e9,https://www.virustotal.com/gui/file/5c010f84a3ef930b99c378942c572848acc336a672678faa82a89fc90b69e7e9,HTML
19,"HTML document, ISO-8859 text, with very long lines, with CRLF, LF line terminators",a42c2701b89fea418f9f0312beb793bf7cb61be7ce86ce100b93e20aab7fa13f,https://www.virustotal.com/gui/file/a42c2701b89fea418f9f0312beb793bf7cb61be7ce86ce100b93e20aab7fa13f,Text
20,"DOS/MBR boot sector; partition 1 : ID=0x7, active, start-CHS (0x0,1,1), end-CHS (0x3ff,254,63), startsector 63, 156360582 sectors",5d0215d1002c6a6f115e9b5a22c6eba07d88b8262c191fdd80186e6b821b4ceb,https://www.virustotal.com/gui/file/5d0215d1002c6a6f115e9b5a22c6eba07d88b8262c191fdd80186e6b821b4ceb,unknown
21,DOS/MBR boot sector,59fed296edeabbbef996bf050c2a65ff30871f32f34e82d74458e0a1f391d114,https://www.virustotal.com/gui/file/59fed296edeabbbef996bf050c2a65ff30871f32f34e82d74458e0a1f391d114,unknown
22,"DOS/MBR boot sector MS-MBR, disk signature 0x77890785",943fc69d685969ecfa236fbeb7b6c2675f60fca8323d5a6888506a4a2199da8a,https://www.virustotal.com/gui/file/943fc69d685969ecfa236fbeb7b6c2675f60fca8323d5a6888506a4a2199da8a,unknown
23,"HTML document, ASCII text, with CRLF line terminators",e6848c886b73808dae6ac9176b7e85609a73b50066b70a4ea6f789373ccc2818,https://www.virustotal.com/gui/file/e6848c886b73808dae6ac9176b7e85609a73b50066b70a4ea6f789373ccc2818,Email
24,"DOS batch file, ASCII text, with CRLF line terminators",65adfc2823c9f5a195f3c5a2c53df21e8e76a1d33d591e40ae891d2998799ff1,https://www.virustotal.com/gui/file/65adfc2823c9f5a195f3c5a2c53df21e8e76a1d33d591e40ae891d2998799ff1,unknown
25,"DOS/MBR boot sector, code offset 0x3c+2, OEM-ID ""MSDOS5.0"", root entries 224, sectors 2880 (volumes <=32 MB) , sectors/FAT 9, sectors/track 18, serial number 0x2d3116f2, unlabeled, FAT (12 bit)",b03728b9bb8f65b019395399fa01ac7afddf6a01ca854b57d1ca2cea8858d2d9,https://www.virustotal.com/gui/file/b03728b9bb8f65b019395399fa01ac7afddf6a01ca854b57d1ca2cea8858d2d9,unknown
26,Windows Registry text (Win95 or above),e87d6599c6d3fe2bb977c0e355b91ee5ae607e4c7cb617ae6e1de6c88019b96f,https://www.virustotal.com/gui/file/e87d6599c6d3fe2bb977c0e355b91ee5ae607e4c7cb617ae6e1de6c88019b96f,unknown
27,"DOS batch file, Non-ISO extended-ASCII text, with CRLF line terminators",8393ddfda48979081c72c375cbd96dc5ea0515e325e4fa4479c83e1ede9db3d9,https://www.virustotal.com/gui/file/8393ddfda48979081c72c375cbd96dc5ea0515e325e4fa4479c83e1ede9db3d9,unknown
28,GIF image data 15457 x 29282,bf89191e18e517ab2ad3b661a0b6d8fa6a6db60905446e8917126987d6259ac1,https://www.virustotal.com/gui/file/bf89191e18e517ab2ad3b661a0b6d8fa6a6db60905446e8917126987d6259ac1,GIF
29,"Non-ISO extended-ASCII text, with very long lines, with no line terminators",9e25974b156547b05f2e4069aeb6ad0b2a5877d0d792b174533632384cd6df0f,https://www.virustotal.com/gui/file/9e25974b156547b05f2e4069aeb6ad0b2a5877d0d792b174533632384cd6df0f,unknown
30,"C++ source, ASCII text",b69fb73483ec0f091e97334e08f20cee6240ca6652098915475ea6cbe9ec3896,https://www.virustotal.com/gui/file/b69fb73483ec0f091e97334e08f20cee6240ca6652098915475ea6cbe9ec3896,PHP
31,"DOS batch file, ISO-8859 text, with CRLF line terminators",c604835b59c822b7a0b997b851723fcb7a85933c486cbde832a0f7a97c5b2577,https://www.virustotal.com/gui/file/c604835b59c822b7a0b997b851723fcb7a85933c486cbde832a0f7a97c5b2577,unknown
32,COM executable for MS-DOS,02ad407e626e93fbce9e8026f8c2250832154af8bcf55a2bf238786ad303ed49,https://www.virustotal.com/gui/file/02ad407e626e93fbce9e8026f8c2250832154af8bcf55a2bf238786ad303ed49,DOS COM
33,"DOS/MBR boot sector; partition 1 : ID=0x7, active, start-CHS (0x0,1,1), end-CHS (0x3ff,254,63), startsector 63, 143363997 sectors; partition 2 : ID=0xc, start-CHS (0x3ff,1,1), end-CHS (0x3ff,254,63), startsector 143364123, 12932262 sectors",b4c898d978df14518860eb5ea1289dd231c659c2c2a89bf12fb3fb0719e34761,https://www.virustotal.com/gui/file/b4c898d978df14518860eb5ea1289dd231c659c2c2a89bf12fb3fb0719e34761,unknown
34,"HTML document, ISO-8859 text, with CRLF line terminators",c04ae83034067e96705126ce076f4813b363538bac6e2a15fdf7a50ef4288fc5,https://www.virustotal.com/gui/file/c04ae83034067e96705126ce076f4813b363538bac6e2a15fdf7a50ef4288fc5,C++
35,"DOS/MBR boot sector MS-MBR, disk signature 0xcab10bee",f9461cdb84cf53368d3347bb90057c92020548d0b04ebdbd16358a786795023f,https://www.virustotal.com/gui/file/f9461cdb84cf53368d3347bb90057c92020548d0b04ebdbd16358a786795023f,unknown
36,"SMTP mail, ASCII text, with CRLF line terminators",1fcd1a1337a47d038cd95e16f905044d657a572fd84f692757c2719e16514e89,https://www.virustotal.com/gui/file/1fcd1a1337a47d038cd95e16f905044d657a572fd84f692757c2719e16514e89,Email
37,", code offset 0x108+3, OEM-ID ""M"", root entries 32, sectors 720 (volumes <=32 MB) , Media descriptor 0xfd, sectors/FAT 4, sectors/track 9, hidden sectors 4236247040, sectors 777090297 (volumes > 32 MB) , physical drive 0xa3, reserved 0x7, dos < 4.0 BootSector (0x0), FAT (12 bit by descriptor)",4df4225865227baf2f6c0b20d54b4048e972fff0f8503116b3c9a7c0d3f02db7,https://www.virustotal.com/gui/file/4df4225865227baf2f6c0b20d54b4048e972fff0f8503116b3c9a7c0d3f02db7,unknown
38,"DOS/MBR boot sector MS-MBR, disk signature 0xf901a321; partition 1 : ID=0x27, start-CHS (0x0,32,33), end-CHS (0x3ff,254,63), startsector 2048, 27262976 sectors; partition 2 : ID=0x7, active, start-CHS (0x3ff,254,63), end-CHS (0x3ff,254,63), startsector 27265024, 233709568 sectors; partition 3 : ID=0x7, start-CHS (0x3ff,254,63), end-CHS (0x3ff,254,63), startsector 260974592, 219990016 sectors; partition 4 : ID=0x12, start-CHS (0x3ff,254,63), end-CHS (0x3ff,254,63), startsector 480964608, 7430144 sectors",478f7273434b3a991e2a285553626a4a10ebec0533eb954bb9e5060d500f4770,https://www.virustotal.com/gui/file/478f7273434b3a991e2a285553626a4a10ebec0533eb954bb9e5060d500f4770,unknown
39,"ASCII text, with very long lines, with CRLF line terminators",7ec2cab4fd87f375471545ab58347f68fce092c24851695f9a2091041f022551,https://www.virustotal.com/gui/file/7ec2cab4fd87f375471545ab58347f68fce092c24851695f9a2091041f022551,Text
40,"C++ source, ASCII text, with CRLF line terminators",b5566fad9b83289cdfef3c9c51533ed8cb0d7dd690c2a9a3057f590e8f86dafb,https://www.virustotal.com/gui/file/b5566fad9b83289cdfef3c9c51533ed8cb0d7dd690c2a9a3057f590e8f86dafb,C
